固化体管理表/SoildChemical_Info,,
属性中文名,属性英文名,类型
固化品名称,chemicalName,Varchar(32)
固化类型,chemicalType,Varchar(32)
用途,usage,Varchar(32)
最大储量,warehousing,Varchar(32)
存放地点,storagePlace,Varchar(32)
实际储量,actualStorage,Varchar(32)
备注,remarksText,Varchar(400)
统计日期,statisticalDate,Varchar(10)
统计人员,statisticalPerson,Varchar(32)
审核人员,checkPerson,Varchar(32)
审核日期,checkDate,Varchar(10)
处理批次,processBatches,Varchar(32)
分配去向,allotPalce,Varchar(32)
分配人员,allotPerson,Varchar(32)
分配日期,allotDate,Varchar(10)
处理单位,processUnit,Varchar(32)
